dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Reportons cette prérogative jusqu'à ce que je prenne conseil auprès de mes sujets.
dlga_merchant_quest_requested:merchant_quest_brief.3|Vous cherchez du travail ? En fait, je cherche quelqu'un pour escorter une caravane. Vous pourriez peut-être vous en charger...
dlga_merchant_quest_brief:escort_merchant_caravan_quest_brief|Une caravane de marchandises va partir pour {s8}. Cependant, avec tous ces bandits et tous ces déserteurs sur les routes, je ne veux pas l'envoyer sans escorte. Si vous pouvez amener cette caravane à {s8} en moins de 15 jours, vous gagnerez {reg8} écus. Bien sûr, votre groupe devra avoir au moins {reg4} membres pour en assurer la protection.
dlga_escort_merchant_caravan_quest_brief:merchant_quest_taken|Très bien, j'escorterai la caravane.
dlga_escort_merchant_caravan_quest_brief:merchant_quest_stall|Je crains de ne pas avoir autant de soldats sous mes ordres.
dlga_escort_merchant_caravan_quest_brief:merchant_quest_stall.1|{Désolé/Désolée}, je ne peux pas le faire pour le moment.
dlga_start:close_window.37|Nous pouvons faire le reste du chemin nous-même, merci.
dlga_start:close_window.38|Bien, nous avons presque atteint {s21}, nous pouvons faire le reste du chemin nous-même. Voilà votre dû, {reg14} écus, merci de nous avoir escorté et bonne chance.
dlga_start:merchant_caravan_intro_1|Salutations, vous êtes celui qui va nous escorter, n'est-ce pas ?
dlga_merchant_caravan_intro_1:merchant_caravan_intro_2|Oui, je m'appelle {playername} et je vais vous amener à {s1}.
dlga_merchant_caravan_intro_2:escort_merchant_caravan_talk|Bien, c'est bon de savoir que nous ne voyagerons pas seuls. Que voulez-vous que nous fassions maintenant ?
dlga_start:escort_merchant_caravan_talk|Hé, nous nous en sommes bien sortis jusque là, que voulez-vous que nous fassions ?
dlga_escort_merchant_caravan_talk:merchant_caravan_follow_lead|Suivez-moi, vous ferez le trajet en toute sécurité.
dlga_merchant_caravan_follow_lead:close_window|Parfait, nous serons juste derrière vous.
dlga_escort_merchant_caravan_talk:merchant_caravan_stay_here|Restez ici un moment, je pars devant en éclaireur.
dlga_merchant_caravan_stay_here:close_window|Parfait, nous vous attendrons ici.
dlga_merchant_quest_requested:merchant_quest_brief.4|En fait, je cherche un aventurier doté de compétences similaires aux vôtres. Il y a ce groupe de bandits particulièrement gênant. Ils ont infesté les environs de notre ville et ils attaquent mes caravanes. Ils ont réussi à éviter tous les soldats et toutes les milices jusqu'à maintenant. Si quelqu'un ne les arrête pas bientôt, je cours à la ruine...
dlga_merchant_quest_brief:troublesome_bandits_quest_brief|Je vous paierai {reg8} écus si vous pourchassez ces bandits fauteurs de troubles. C'est un travail dangereux. Mais je crois que vous êtes {l'homme/celle} qu'il me faut. Qu'en dites-vous ?
dlga_troublesome_bandits_quest_brief:merchant_quest_taken_bandits|Très bien, je traquerai ces bandits.
dlga_merchant_quest_taken_bandits:close_window|Vous allez le faire ? Fantastique, je vous souhaite bonne chance.
dlga_troublesome_bandits_quest_brief:merchant_quest_stall|{Navré/Navrée}, je n'ai pas le temps pour le moment.
dlga_merchant_quest_requested:merchant_quest_brief.5|À vrai dire, je cherche un associé fiable pouvant se charger d'une mission importante. Un groupe de bandits a enlevé la fille d'un de mes amis et la retient contre une rançon. Mon ami est prêt à les payer mais nous avons toujours besoin de quelqu'un pour apporter l'argent à ces fripouilles et pour ramener la jeune fille en lieu sûr.
dlga_merchant_quest_brief:kidnapped_girl_quest_brief|Le montant de la rançon s'élève à {reg12} écus. Je vous donnerai cet argent si vous acceptez de faire cette quête. Vous avez 15 jours pour apporter l'argent aux bandits qui attendront près du village de {s4}. Ces chiens galeux ont dit qu'ils allaient tuer la pauvre fille s'ils n'obtenaient pas l'argent à temps. Vous serez payé {reg8} écus lorsque vous ramènerez la fille saine et sauve ici.
dlga_kidnapped_girl_quest_brief:kidnapped_girl_quest_taken|Très bien, je vais amener cette rançon aux bandits et ramener la fille.
dlga_kidnapped_girl_quest_taken:close_window|Bien, je savais que nous pouvions vous faire confiance. Voilà l'argent de la rançon, {reg12} écus. Je vous en prie, ne tentez rien de stupide. Gardez à l'esprit que le bien-être de la fille est plus important que tout le reste.
dlga_kidnapped_girl_quest_brief:merchant_quest_stall|Excusez-moi, je n'ai pas le temps de faire cela pour le moment.
dlga_start:close_window.39|Merci beaucoup de m'avoir ramenée, je vais vite retrouver ma famille, au revoir.
dlga_kidnapped_girl_liberated_map:kidnapped_girl_liberated_map_2a|Oui, venez avec moi, je vais vous ramener chez vous.
dlga_kidnapped_girl_liberated_map_2a:close_window|Malheureusement vous n'avez pas de place dans votre groupe pour moi.
dlga_kidnapped_girl_liberated_map_2a:close_window.1|Oh vraiment ? Je vous suis tellement reconnaissante !
dlga_kidnapped_girl_liberated_map:kidnapped_girl_liberated_map_2b|Attendez ici un petit moment, je reviendrai vous chercher.
dlga_kidnapped_girl_liberated_map_2b:close_window|Oh, s'il vous plaît {messire/madame}, ne me laissez pas ici toute seule !
dlga_start:kidnapped_girl_liberated_map|Oh {messire/madame}, je vous remercie très sincèrement de m'avoir sauvée. Allez-vous me ramener dans ma famille maintenant ?
dlga_kidnapped_girl_liberated_battle:kidnapped_girl_liberated_battle_2a|Oui, venez avec moi. Nous allons chez vous.
dlga_kidnapped_girl_liberated_battle_2a:kidnapped_girl_liberated_battle_2b|Hélas vous n'avez pas de place pour moi dans votre groupe.
dlga_kidnapped_girl_liberated_battle_2a:close_window|Oh vraiment, merci du fond du coeur !
dlga_kidnapped_girl_liberated_battle:kidnapped_girl_liberated_battle_2b|Attendez ici un petit moment, je reviendrai vous chercher.
dlga_kidnapped_girl_liberated_battle_2b:close_window|Oh je vous en prie {messire/madame}, ne me laissez pas toute seule ici !
dlga_start:kidnapped_girl_liberated_map.1|Puis-je venir avec vous maintenant ?
dlga_start:bandits_awaiting_ransom_intro_1|C'est vous qui amenez la rançon ? Vite, donnez-nous l'argent maintenant.
dlga_start:bandits_awaiting_ransom_intro_1.1|Vous êtes revenu ? Dépêchez-vous, donnez-nous l'argent maintenant.
dlga_bandits_awaiting_ransom_intro_1:bandits_awaiting_ransom_pay|Tenez, prenez l'argent et contentez-vous de libérer la fille.
dlga_bandits_awaiting_ransom_pay:close_window|Parfait, vous avez apporté l'argent et vous pouvez récupérer la fille maintenant. Ce fut un plaisir de faire affaire avec vous...
dlga_bandits_awaiting_ransom_intro_1:bandits_awaiting_ransom_b|Hors de question ! Vous relâchez d'abord la fille.
dlga_bandits_awaiting_ransom_b:bandits_awaiting_ransom_b2|Espèce d'imbécile ! Arrêtez de jouer avec nous et donnez-nous l'argent !
dlga_bandits_awaiting_ransom_b2:bandits_awaiting_ransom_pay|Parfait, voici votre argent et maintenant laissez la fille partir.
dlga_bandits_awaiting_ransom_b2:bandits_awaiting_ransom_no_money|J'ai laissé l'argent en lieu sûr, laissez-moi aller le chercher.
dlga_bandits_awaiting_ransom_no_money:close_window|Vous jouez avec notre patience ou quoi ? Allez-y et dépêchez-vous de ramener l'argent ici.
dlga_bandits_awaiting_ransom_b2:bandits_awaiting_ransom_fight|Je n'ai pas l'intention de vous payer, et j'exige que vous relâchiez la fille toute suite !
dlga_bandits_awaiting_ransom_fight:close_window|Vous n'exigerez plus rien du tout lorsque vous serez mort.
dlga_start:bandits_awaiting_remeet|Qu'y a-t-il ? Vous nous avez donné l'argent, tout est en ordre.
dlga_bandits_awaiting_remeet:close_window|Navré de vous avoir dérangé, je vais reprendre ma route maintenant.
dlga_bandits_awaiting_remeet:bandits_awaiting_remeet_2|Nous avons encore une affaire à régler, vous allez me rendre l'argent.
dlga_bandits_awaiting_remeet_2:close_window|Oh cette affaire ! Bien sûr, commençons sans plus attendre.
dlga_start:kidnapped_girl_encounter_1|Oh {messire/madame}, je vous suis tellement reconnaissante de m'avoir sauvée. Allez-vous me ramener dans ma famille maintenant ?
dlga_kidnapped_girl_encounter_1:kidnapped_girl_join|Oui, venez avec moi et je vais vous ramener chez vous.
dlga_kidnapped_girl_join:close_window|Malheureusement, vous n'avez plus de place dans votre groupe pour moi.
dlga_kidnapped_girl_join:close_window.1|Oh merci beaucoup !
dlga_kidnapped_girl_encounter_1:kidnapped_girl_wait|Attendez ici encore un peu, je reviendrai vous chercher.
dlga_kidnapped_girl_wait:close_window|Oh s'il vous plaît {messire/madame}, ne me laissez pas toute seule ici !
dlga_merchant_quest_about_job_2:lost_kidnapped_girl|Malheureusement j'ai perdu la fille en route...
dlga_lost_kidnapped_girl:lost_kidnapped_girl_2|Oh non ! Comment vais-je pouvoir annoncer cela à mon ami ?
dlga_lost_kidnapped_girl_2:lost_kidnapped_girl_3|Mes excuses, mais je ne peux rien y faire.
dlga_lost_kidnapped_girl_3:lost_kidnapped_girl_4|Vous m'avez laissé tomber {playername}, j'avais confiance en vous. Je ferai savoir à tous que vous êtes un incompétent. Je veux également que vous me rendiez ces {reg8} écus que je vous avais donné pour payer la rançon.
dlga_lost_kidnapped_girl_4:merchant_quest_about_job_5a|Bien sûr, tenez...
dlga_merchant_quest_about_job_5a:close_window|Au moins vous avez la décence de rendre l'argent.
dlga_lost_kidnapped_girl_4:merchant_quest_about_job_5b|Désolé, je n'ai pas cette somme sur moi.
dlga_merchant_quest_about_job_5b:close_window|Vous pensez que je vais croire cela ? Vous allez me rendre cette rançon, maintenant partez et ramenez l'argent !
dlga_merchant_quest_requested:merchant_quest_persuade_peace_1|Cette guerre entre le {s15} et le {s14} a mené notre ville au bord de la ruine. Nos caravanes sont attaquées avant de pouvoir atteindre leur destination. Nos marchands ont peur de quitter la sécurité des remparts de la ville. Et comme si ce n'était pas suffisant, les impôts pour soutenir la guerre ponctionnent nos économies jusqu'au dernier écu. Si la paix n'est pas bientôt établie, nous ne pourrons plus tenir très longtemps.
dlga_merchant_quest_persuade_peace_1:merchant_quest_brief|Vous avez raison, mais qui peut arrêter cette folie de guerre ?
dlga_merchant_quest_persuade_peace_1:merchant_quest_persuade_peace_reject|À vous d'aider les nobles dans leur effort de guerre, sans vous en plaindre.
dlga_merchant_quest_persuade_peace_reject:close_window|Les nobles se font la guerre par cupidité et pour leurs rêves de gloire. Et ce sont les pauvres et honnêtes gens comme nous qui supportons le véritable fardeau. Mais évidemment, vous ne voulez rien entendre.
dlga_merchant_quest_brief:merchant_quest_persuade_peace_3|Il y a eu des tentatives pour réconcilier les deux camps pour parvenir à un accord. Cependant de puissants seigneurs dans les deux camps ont intérêt à ce que la guerre continue. Ces hommes exhortent tous les autres à ne pas écouter le bon sens et à continuer la guerre. Tant qu'ils auront de l'influence, aucun accord de paix ne pourra être conclu.
dlga_merchant_quest_persuade_peace_3:merchant_quest_persuade_peace_4|Qui sont ces inconscients pour s'opposer à la paix ?
dlga_merchant_quest_persuade_peace_3:merchant_quest_persuade_peace_4.1|De qui parlez-vous ?
dlga_merchant_quest_persuade_peace_4:merchant_quest_persuade_peace_5|Je parle de {s12} du {s15} et de {s13} du {s14}. Tant qu'ils ne changeront pas d'avis ou qu'ils ne perdront pas de leur influence, il n'y aura aucune chance que les deux camps fassent la paix.
dlga_merchant_quest_persuade_peace_5:merchant_quest_persuade_peace_6|Que peut-on faire ?
dlga_merchant_quest_persuade_peace_5:merchant_quest_persuade_peace_6.1|Hélas, on dirait qu'on n'y peut rien.
dlga_merchant_quest_persuade_peace_6:merchant_quest_persuade_peace_7|Il y a un moyen de résoudre ce problème. Une personne déterminée pourrait persuader l'un des seigneurs, voire les deux d'accepter de faire la paix. Si cela devait échouer, il sera toujours temps d'envisager de les vaincre par la force. Une fois prisonniers, ils perdront de leur influence et ne pourront plus s'opposer à un accord, qu'en pensez-vous ?^ Pouvez-vous faire cela ?
dlga_merchant_quest_persuade_peace_7:merchant_quest_persuade_peace_8|Cela semble difficile, mais je vais essayer.
dlga_merchant_quest_persuade_peace_7:merchant_quest_persuade_peace_8.1|Si vous y mettez le prix, peut-être que...
dlga_merchant_quest_persuade_peace_7:merchant_quest_persuade_peace_8.2|Laissez tomber, ce n'est pas mon problème.
dlga_merchant_quest_persuade_peace_8:merchant_quest_persuade_peace_9|La plupart des marchands de la ville ouvriront aisément leurs bourses pour soutenir un tel projet. Je pense qu'ensemble nous pouvons réunir {reg12} écus. Nous serons heureux de vous récompenser avec cette somme si vous pouvez mener à bien ce plan. Persuadez {s12} et {s13} d'accepter un accord de paix, et si l'un d'entre eux se montre trop obstiné, faites en sorte qu'il soit fait prisonnier, et refuser toute rançon tant qu'un compromis de paix n'aura pas été trouvé.
dlga_merchant_quest_persuade_peace_9:merchant_quest_persuade_peace_10|Parfait, je ferai de mon mieux.
